Year,Site,C/T,Plot,Plant,bud,flw_pk,sen,upr
2018,CASS,T,1,1,,,,
2018,CASS,T,1,2,,197,204,216
2018,CASS,T,1,3,,197,210,
2018,CASS,T,1,4,,197,207,
2018,CASS,T,1,5,,197,,
2018,CASS,T,1,D1,,200,200,
2018,CASS,T,1,D2,,200,213,
2018,CASS,T,1,D3,,199,,
2018,CASS,C,1,1,,197,213,
2018,CASS,C,1,2,,197,210,
2018,CASS,C,1,3,,,,
2018,CASS,C,1,4,,,,
2018,CASS,C,1,5,,197,200,216
2018,CASS,C,1,D1,,199,210,
2018,CASS,C,1,D2,,,,
2018,CASS,C,1,D3,,199,210,
2018,CASS,T,2,1,,197,200,216
2018,CASS,T,2,2,,197,207,216
2018,CASS,T,2,3,,197,204,
2018,CASS,T,2,4,,,,
2018,CASS,T,2,5,,200,204,210
2018,CASS,T,2,D1,,200,213,
2018,CASS,T,2,D2,,200,204,
2018,CASS,T,2,D3,,,,
2018,CASS,C,2,1,,197,204,
2018,CASS,C,2,2,197,200,210,
2018,CASS,C,2,3,,197,210,
2018,CASS,C,2,4,,197,200,210
2018,CASS,C,2,5,,,,
2018,CASS,C,2,D1,,199,210,
2018,CASS,C,2,D2,,,,
2018,CASS,C,2,D3,,199,213,
2018,CASS,T,3,1,,197,200,
2018,CASS,T,3,2,,,,
2018,CASS,T,3,3,,,,
2018,CASS,T,3,4,,197,210,
2018,CASS,T,3,5,,197,207,
2018,CASS,T,3,D1,,200,200,
2018,CASS,T,3,D2,,,,
2018,CASS,T,3,D3,,200,200,
2018,CASS,C,3,1,,197,207,213
2018,CASS,C,3,2,,197,204,216
2018,CASS,C,3,3,,200,210,
2018,CASS,C,3,4,,197,204,213
2018,CASS,C,3,5,,,,
2018,CASS,C,3,D1,,199,213,
2018,CASS,C,3,D2,,,,
2018,CASS,C,3,D3,,,,
2018,CASS,T,4,1,,,,
2018,CASS,T,4,2,,,,
2018,CASS,T,4,3,,,,
2018,CASS,T,4,4,,,,
2018,CASS,T,4,5,,197,207,
2018,CASS,T,4,D1,,199,200,213
2018,CASS,T,4,D2,,200,204,216
2018,CASS,T,4,D3,,,,
2018,CASS,C,4,1,,197,197,213
2018,CASS,C,4,2,,,,
2018,CASS,C,4,3,,,,
2018,CASS,C,4,4,,197,210,
2018,CASS,C,4,5,,,,
2018,CASS,C,4,D1,,,,
2018,CASS,C,4,D2,,199,210,
2018,CASS,C,4,D3,,199,207,
2018,CASS,T,5,1,,197,197,213
2018,CASS,T,5,2,197,200,207,
2018,CASS,T,5,3,,197,204,213
2018,CASS,T,5,4,,,,
2018,CASS,T,5,5,,197,210,
2018,CASS,T,5,D1,,200,204,210
2018,CASS,T,5,D2,,,,
2018,CASS,T,5,D3,,200,207,
2018,CASS,C,5,1,197,200,210,
2018,CASS,C,5,2,,197,210,216
2018,CASS,C,5,3,,,,
2018,CASS,C,5,4,,,,
2018,CASS,C,5,5,197,201,216,
2018,CASS,C,5,D1,,199,210,
2018,CASS,C,5,D2,199,204,210,
2018,CASS,C,5,D3,,,,
2018,CASS,T,6,1,,,,
2018,CASS,T,6,2,,,,
2018,CASS,T,6,3,,,,
2018,CASS,T,6,4,,,,
2018,CASS,T,6,5,,197,204,213
2018,CASS,T,6,D1,,199,200,213
2018,CASS,T,6,D2,,200,204,
2018,CASS,T,6,D3,,,,
2018,CASS,C,6,1,,,,
2018,CASS,C,6,2,,,,
2018,CASS,C,6,3,,200,210,
2018,CASS,C,6,4,,,,
2018,CASS,C,6,5,,,,
2018,CASS,C,6,D1,,,,
2018,CASS,C,6,D2,,199,204,216
2018,CASS,C,6,D3,,,,
2018,CASS,T,7,1,,,,
2018,CASS,T,7,2,,,,
2018,CASS,T,7,3,,,,
2018,CASS,T,7,4,,,,
2018,CASS,T,7,5,,,,
2018,CASS,T,7,D1,,,,
2018,CASS,T,7,D2,,200,204,
2018,CASS,T,7,D3,,200,204,213
2018,CASS,C,7,1,,197,210,
2018,CASS,C,7,2,,,,
2018,CASS,C,7,3,,,,
2018,CASS,C,7,4,,,,
2018,CASS,C,7,5,,197,204,
2018,CASS,C,7,D1,,,,
2018,CASS,C,7,D2,,,,
2018,CASS,C,7,D3,199,198,,
2018,CASS,T,8,1,,,,
2018,CASS,T,8,2,,,,
2018,CASS,T,8,3,,,,
2018,CASS,T,8,4,,197,204,210
2018,CASS,T,8,5,,200,204,
2018,CASS,T,8,D1,,200,200,
2018,CASS,T,8,D2,,200,210,216
2018,CASS,T,8,D3,,,,
2018,CASS,C,8,1,,197,210,
2018,CASS,C,8,2,,,,
2018,CASS,C,8,3,,197,200,
2018,CASS,C,8,4,,197,204,
2018,CASS,C,8,5,,,,
2018,CASS,C,8,D1,199,198,216,
2018,CASS,C,8,D2,,,,
2018,CASS,C,8,D3,199,198,,
2018,CASS,T,9,1,,197,207,
2018,CASS,T,9,2,,,,
2018,CASS,T,9,3,,197,204,
2018,CASS,T,9,4,,197,204,
2018,CASS,T,9,5,,197,204,
2018,CASS,T,9,D1,,200,204,210
2018,CASS,T,9,D2,,200,200,216
2018,CASS,T,9,D3,,,,
2018,CASS,C,9,1,,,,
2018,CASS,C,9,2,,,,
2018,CASS,C,9,3,,197,210,
2018,CASS,C,9,4,,,,
2018,CASS,C,9,5,,197,210,
2018,CASS,C,9,D1,,,,
2018,CASS,C,9,D2,,,,
