month,avairT,mxairT
Jul-88,6.272892857,9.712392857
Aug-88,2.293935484,5.567483871
Sep-88,-6.620266667,-3.5876
Oct-88,-12.9936129,-9.554741935
Nov-88,-22.80833333,-19.532
Dec-88,-32.09,-27.9116129
Jan-89,-37.67709677,-33.78903226
Feb-89,-35.23642857,-31.08678571
Mar-89,-34.82096774,-30.74193548
Apr-89,-23.092,-17.65143333
May-89,-11.37048387,-3.828580645
Jun-89,1.496344828,6.4114
Jul-89,7.109777778,10.64911111
Aug-89,3.058193548,6.124290323
Sep-89,-7.130266667,-4.2236
Oct-89,-18.95387097,-16.00470968
Nov-89,-24.24866667,-20.4776
Dec-89,-27.01032258,-23.45677419
Jan-90,-29.35419355,-25.95580645
Feb-90,-33.19928571,-29.51142857
Mar-90,-30.68322581,-26.73709677
Apr-90,-18.90366667,-13.8629
May-90,-4.870806452,-0.749322581
Jun-90,5.246266667,8.3246
Jul-90,6.229225806,9.385774194
Aug-90,4.519935484,7.519451613
Sep-90,-5.374233333,-2.216333333
Oct-90,-21.08645161,-17.42741935
Nov-90,-28.91933333,-25.635
Dec-90,-28.51548387,-24.57119355
Jan-91,-30.96,-27.47225806
Feb-91,-29.13892857,-25.34535714
Mar-91,-28.01096774,-23.56193548
Apr-91,-22.847,-16.7594
May-91,-6.607,-0.019709677
Jun-91,3.8974,6.7042
Jul-91,7.016451613,10.3493871
Aug-91,3.406322581,6.414645161
Sep-91,-5.677366667,-2.7116
Oct-91,-17.22483871,-14.3093871
Nov-91,-21.561,-17.6782
Dec-91,-30.96741935,-27.56129032
Jan-92,-33.77967742,-30.37580645
Feb-92,-32.66931034,-28.59862069
Mar-92,-30.03032258,-25.77193548
Apr-92,-23.44433333,-17.58833333
May-92,-10.256,-4.521258065
Jun-92,2.0743,4.753666667
Jul-92,4.93816129,8.282935484
Aug-92,2.65483871,6.15483871
Sep-92,-5.536666667,-1.936666667
Oct-92,-14.35483871,-10.62258065
Nov-92,-25.66666667,-21.80333333
Dec-92,-27.42580645,-23.5483871
Jan-93,-31.67419355,-27.73548387
Feb-93,-29.5,-25.58571429
Mar-93,-32.18064516,-28.22903226
Apr-93,-18.71666667,-14.91666667
May-93,-5.874193548,-2.261290323
Jun-93,3.682533333,6.967433333
Jul-93,7.210580645,10.26674194
Aug-93,2.791645161,5.698645161
Sep-93,-6.363433333,-3.925166667
Oct-93,-14.78412903,-12.17458065
Nov-93,-29.102,-25.92966667
Dec-93,-30.6683871,-27.55677419
Jan-94,-25.37741935,-21.9116129
Feb-94,-26.13821429,-22.32607143
Mar-94,-31.63322581,-27.87548387
Apr-94,-20.511,-15.12833333
May-94,-5.359774194,-0.979064516
Jun-94,4.272166667,7.036
