year,lsfc,lsft,ldiff,bwc,bwt,bdiff,tkc,tkt,tdiff,atc,att,adiff,imc,imt,idiff
2018,8.665224,11.586229,2.921005,5.316494,5.83678,0.520286,6.315608,10.961763,4.646155,6.816035,5.861324,-0.954711,6.079968,5.971194,-0.108774
2017,8.20304,8.515034,0.311994,5.165204,4.408761,-0.756443,6.542228,7.68836,1.146132,5.82067,5.922775,0.102105,5.375727,6.136309,0.760582
2016,9.197308,8.219609,-0.977699,4.543103,4.903235,0.360132,7.727812,8.111532,0.38372,6.09878,6.287951,0.189171,5.804088,6.812989,1.008901
2015,6.532489,10.06244,3.529951,6.104341,5.650678,-0.453663,7.317302,8.095188,0.777886,5.252638,5.918012,0.665374,5.245344,6.180088,0.934744
2014,7.006746,11.005157,3.998411,4.411074,3.93103,-0.480044,6.14351,8.63561,2.4921,5.698177,5.43745,-0.260727,6.013892,5.389643,-0.624249
2013,7.629532,9.552391,1.922859,4.695312,4.968564,0.273252,6.660235,8.357421,1.697186,5.043485,5.701388,0.657903,5.822116,6.667477,0.845361
2012,7.56809,10.830364,3.262274,4.359871,4.705414,0.345543,5.791974,7.465255,1.673281,4.433709,5.567262,1.133553,5.062903,5.257583,0.19468
2011,7.541131,9.483276,1.942145,4.447537,3.711081,-0.736456,5.281586,6.51517,1.233584,4.244326,5.153197,0.908871,4.19716,4.394813,0.197653
2010,7.400022,7.19195,-0.208072,4.486185,4.426823,-0.059362,4.923404,5.721074,0.79767,4.790085,5.233028,0.442943,5.055472,4.409152,-0.64632
2009,6.817212,8.852313,2.035101,4.213339,3.483823,-0.729516,5.009621,5.897228,0.887607,4.323716,4.489089,0.165373,5.536494,5.357113,-0.179381
2008,6.063263,9.60182,3.538557,4.257683,3.731443,-0.52624,4.822459,4.75,-0.072459,4.308613,5.093542,0.784929,4.11,3.877763,-0.232237
2007,4.89903,8.11883,3.2198,3.862851,3.810328,-0.052523,5.095,6.385669,1.290669,4.558171,3.610521,-0.94765,3.16,3.902042,0.742042
2006,5.496989,8.37677,2.879781,3.53825,3.047136,-0.491114,3.68,6.775,3.095,4.635015,4.148599,-0.486416,3.26,3.509904,0.249904
2005,6.19,11.593571,5.403571,3.822255,3.517747,-0.304508,5.22,5.26,0.04,4.289719,4.417121,0.127402,,5.062125,5.062125
2004,6.42,8.075,1.655,4.018892,3.72,-0.298892,3.9,4.165,0.265,3.446638,4.820377,1.373739,,5.05,5.05
2003,6.52,9.49,2.97,3.37,4.91,1.54,4.18,4.48,0.3,3.691704,3.880428,0.188724,6.772345,8.747569,1.975224
2002,NA,9.36,NA,3.823798,NA,NA,NA,4.165,NA,4.089367,3.845598,-0.243769,NA,5.19,NA
2001,NA,6.765,NA,2.13,NA,NA,NA,4.06,NA,2.766553,3.604058,0.837505,NA,NA,NA
2000,NA,5.48,NA,NA,NA,NA,NA,2.73,NA,3.99,4,0.01,NA,NA,NA
1999,NA,5.1,NA,NA,NA,NA,NA,5.45,NA,3.14,3.55,0.41,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.57,NA,NA,NA,NA,NA
