obs,Average RWI,Maximum RWI,Minimum RWI,StDev RWI,Average Bud,Maximum Bud,StDev Bud,Average Flower,Maximum Flower,StDev Flower,country,treatment,region,High / Low Arctic,Mesic / Dry,Long,Lat,lon,lat
Abisko,0.897986116,1.4189986,0.4900112,0.218753397,0.059523809,0.7142857,0.154219827,0.408893556,1,0.321667285,Northern Scandinavia,Control,europe,Low,Dry,18.5,68.19,760765.9,-2273689.7
Atqasuk_C,0.945250007,1.1740193,0.7797159,0.11415572,0.466021304,1.0714286,0.36590116,0.56033857,1.2142857,0.368339639,Alaska,Control,alaska,Low,Dry,-157.24,70.27,-837304.6,1995768
Barrow_C,0.951361359,1.2839424,0.5521313,0.141749943,0.312990951,0.91304348,0.296614871,0.369600623,0.95652174,0.316325841,Alaska,Control,alaska,High,Dry,-156.4,71.18,-825792.7,1890164.7
Disko,0.91033832,1.3212241,0.6120303,0.169126469,0.048710318,0.4375,0.091428405,0.415795912,1.1875,0.37607151,Greenland,Control,high arc,Low,Dry,-42.17,69.63,-1501045.3,-1657165.2
Imnavait_C,0.917361131,1.1541987,0.5759521,0.162713346,0.253571427,0.75,0.280419695,0.278650787,0.7142857,0.228420116,Alaska,Control,alaska,Low,Mesic,-148.18,68.37,-1253458,2020046
Latna_C,0.98366038,1.2792319,0.770381,0.163761865,0.115625,1,0.264397901,0.569791669,1.4,0.385775734,Northern Scandinavia,Control,europe,Low,Dry,18.3,68.2,752471.3,-2275263.1
Saana,0.956168551,1.3361175,0.3737034,0.190372145,0.078947368,0.6,0.177303976,0.315350876,1.2,0.389894526,Northern Scandinavia,Control,europe,Low,Dry,20.8,69.04,817481.3,-2152034.7
Toolik_C,0.9339654,1.2042985,0.6965574,0.142742883,0.372103388,1,0.359598022,0.368241235,2,0.47250339,Alaska,Control,alaska,Low,Mesic,-149.38,68.38,-1210305.6,2044885.6
AF_Dryas_C,0.964160738,1.302038856,0.71316301,0.139874882,0.076014965,0.26315789,0.083936539,0.719190767,2.1538462,0.591969836,Ellesmere,Control,canadian,High,Dry,-75.55,78.53,-1210703.2,-311982.2
AF_Cass_C,0.899620962,1.242253633,0.590485601,0.156924698,0.086864637,0.52941176,0.118655893,0.294560519,0.8431373,0.213265585,Ellesmere,Control,canadian,High,Dry,-75.55,78.53,-1210703.2,-311982.2
AF_Fert_C,0.915229755,1.278532988,0.600428113,0.190883696,0.124228153,0.625,0.146975447,0.448032325,1.125,0.293820662,Ellesmere,Control,canadian,High,Mesic,-75.55,78.53,-1210703.2,-311982.2
AF_Mig_C,0.960152928,1.42795098,0.601237843,0.198408547,0.165922609,0.5714286,0.189149992,0.415848216,1.1428571,0.331539288,Ellesmere,Control,canadian,High,Mesic,-75.55,78.53,-1210703.2,-311982.2
AF_NX_C,0.969898877,1.237685912,0.686003648,0.127865587,0.101760024,0.45454545,0.135606654,0.301713018,1.27272727,0.302978019,Ellesmere,Control,canadian,High,Dry,-75.55,78.53,-1210703.2,-311982.2
