ind,Region,Site,Exp,y,Year,Clim
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,NA,1966,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,NA,1967,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,NA,1968,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,NA,1969,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,NA,1970,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,NA,1971,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,NA,1972,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,2.67,1973,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.98,1974,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,2.62,1975,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.76,1976,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.138,1977,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.737,1978,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.41,1979,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.528,1980,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.385,1981,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.902,1982,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.905,1983,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.452,1984,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,2.776,1985,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.217,1986,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.205,1987,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.662,1988,NA
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.922,1989,6.272892857
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.588,1990,7.109777778
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.67,1991,6.229225806
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.018,1992,7.016451613
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.862,1993,4.93816129
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.867,1994,7.210580645
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.028,1995,6.034548387
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.224,1996,6.399129032
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,3.958,1997,6.667903226
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.065,1998,5.691
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.464,1999,7.450419355
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.147,2000,7.767709677
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.984,2001,7.738903226
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.027,2002,7.364451613
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.734,2003,5.54516129
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.859,2003,7.552806452
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,4.761,2004,4.439483871
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.54,2005,5.408688865
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.276,2006,6.623645161
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.48,2007,7.770870968
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.376,2008,6.938225806
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.837,2009,9.6628125
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.872,2010,7.654590909
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,6.426,2011,9.679633333
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,6.041,2012,8.673354839
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,5.987,2013,6.183354839
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,6.116,2014,7.359870968
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,6.496,2015,7.339032258
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,6.687,2016,8.19616129
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,6.262,2017,6.638870968
CassiopeC,Alexandra Fiord - Ellesmere,Cassiope,C,6.217,2018,5.176846154
CassiopeT,Alexandra Fiord - Ellesmere,Cassiope,T,NA,1966,NA
