year,month,avtemp,mxtemp
1991,12,-30.96741935,-27.56129032
1992,1,-33.77967742,-30.37580645
1992,2,-32.66931034,-28.59862069
1992,3,-30.03032258,-25.77193548
1992,4,-23.44433333,-17.58833333
1992,5,-10.256,-4.521258065
1992,6,2.0743,4.753666667
1992,7,4.93816129,8.282935484
1992,8,2.65483871,6.15483871
1992,9,-5.536666667,-1.936666667
1992,10,-14.35483871,-10.62258065
1992,11,-25.66666667,-21.80333333
1992,12,-27.42580645,-23.5483871
1993,1,-31.67419355,-27.73548387
1993,2,-29.5,-25.58571429
1993,3,-32.18064516,-28.22903226
1993,4,-18.71666667,-14.91666667
1993,5,-5.874193548,-2.261290323
1993,6,3.682533333,6.967433333
1993,7,7.210580645,10.26674194
1993,8,2.791645161,5.698645161
1993,9,-6.363433333,-3.925166667
1993,10,-14.78412903,-12.17458065
1993,11,-29.102,-25.92966667
1993,12,-30.6683871,-27.55677419
1994,1,-25.37741935,-21.9116129
1994,2,-26.13821429,-22.32607143
1994,3,-31.63322581,-27.87548387
1994,4,-20.511,-15.12833333
1994,5,-5.359774194,-0.979064516
1994,6,4.272166667,7.036
1994,7,6.034548387,9.620483871
1994,8,4.14416129,7.488064516
1994,9,-5.092366667,-2.314233333
1994,10,-17.64741935,-15.20370968
1994,11,-23.77366667,-20.792
1994,12,-31.57483871,-28.28451613
1995,1,-31.50096774,-27.73903226
1995,2,-32.15107143,-28.17071429
1995,3,-32.08225806,-28.76032258
1995,4,-14.26093333,-9.291933333
1995,5,-5.039806452,0.822225806
1995,6,4.2659,7.5819
1995,7,6.399129032,9.915387097
1995,8,4.336677419,7.552483871
1995,9,-4.172566667,-1.270866667
1995,10,-16.32870968,-13.68712903
1995,11,-18.56173333,-15.14453333
1995,12,-29.15451613,-25.53774194
1996,1,-28.98774194,-25.06193548
1996,2,-28.63413793,-24.88517241
1996,3,-29.56935484,-24.97645161
1996,4,-18.292,-12.2927
1996,5,-6.921677419,-1.540870968
1996,6,1.4342,4.791
1996,7,6.667903226,9.910064516
1996,8,0.909903226,3.458903226
1996,9,-6.516633333,-3.7414
1996,10,-17.27870968,-14.2363871
1996,11,-20.18233333,-16.3949
1996,12,-22.04451613,-18.60290323
1997,1,-30.86354839,-27.94258065
1997,2,-31.305,-27.38035714
1997,3,-27.80483871,-23.3816129
1997,4,-19.57666667,-14.64916667
1997,5,-5.505580645,-1.158193548
1997,6,4.5499,7.4096
1997,7,5.691,8.780580645
1997,8,1.436451613,4.034741935
1997,9,-8.535033333,-5.305266667
1997,10,-18.06387097,-15.43032258
1997,11,-22.89333333,-18.389
1997,12,-27.33935484,-23.56816129
1998,1,-27.45806452,-23.72419355
1998,2,-32.09535714,-28.46392857
1998,3,-29.51903226,-25.31129032
1998,4,-18.599,-13.53306667
1998,5,-7.204064516,-1.848258065
1998,6,5.200466667,8.6727
1998,7,7.450419355,10.7626129
1998,8,3.233645161,5.642419355
1998,9,-3.260833333,0.1731
1998,10,-15.1426129,-12.76206452
1998,11,-19.02933333,-15.51133333
1998,12,-24.3583871,-20.49387097
1999,1,-30.72903226,-27.28806452
1999,2,-33.22142857,-29.72107143
1999,3,-30.24774194,-26.06096774
1999,4,-22.6,-17.06033333
1999,5,-9.293967742,-3.115258065
1999,6,3.0389,6.5213
1999,7,7.767709677,11.28574194
1999,8,3.777290323,7.402677419
1999,9,-6.323866667,-3.302966667
1999,10,-19.83419355,-16.48903226
1999,11,-24.52566667,-21.411
1999,12,-33.99,-30.73935484
2000,1,-31.76806452,-27.88
2000,2,-32.00758621,-28.17413793
2000,3,-29.81,-25.72645161
2000,4,-19.974,-14.06923333
2000,5,-9.271451613,-2.833709677
2000,6,4.692366667,9.139566667
2000,7,7.738903226,11.11574194
2000,8,2.570870968,6.042903226
2000,9,-6.378333333,-3.7284
2000,10,-16.16548387,-14.00419355
2000,11,-22.54366667,-19.503
2000,12,-25.55870968,-21.83032258
2001,1,-29.90064516,-25.93387097
2001,2,-33.10642857,-29.13642857
2001,3,-31.27935484,-27.59709677
2001,4,-22.80933333,-16.91306667
2001,5,-7.955322581,-1.820290323
2001,6,4.1115,8.4683
2001,7,7.364451613,10.46416129
2001,8,3.726516129,6.843096774
2001,9,-5.7,-2.611766667
2001,10,-17.49129032,-14.455
2001,11,-23.544,-19.271
2001,12,-23.93290323,-20.15709677
2002,1,-30.63354839,-26.83
2002,2,-37.40821429,-33.71928571
2002,3,-31.93322581,-27.75451613
2002,4,-26.14233333,-20.27666667
2002,5,-7.164741935,-1.296806452
2002,6,4.5129,8.0236
