obs,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965
axdt_rwi,1.027812761,1.030397268,1.1760463,1.261022751,1.072432596,1.108058426,1.03168364,1.082720854,1.091615251,1.077822082,1.049767022,0.973996196,1.005898616,0.878446373,1.004821603,0.937936807,0.895960649,1.079997182,0.906646969,0.948379726,0.873725734,0.634643245,0.753651347,0.578657026,0.722446781,0.856095284,0.761707894,0.79407687,0.667630388,1.092859588,0.702552593,0.723095066,0.959333511,0.868946628,0.799102218,0.922357059,0.932628295,0.87510937,0.589568988,0.682010119,0.883326359,0.817590444,0.519724579,0.645033667,0.484802374,0.679955872,0.558755278,0.924411306,0.688172861,0.934682543,0.83607867,0.729257808,0.747746034,0.739529045
axdc_rwi,1.136621175,0.962155551,1.126234104,1.072921237,0.990492997,1.031576189,1.090527323,1.28860705,1.077766698,1.048749442,1.039610361,0.994675014,1.057505594,1.056597575,0.953977506,0.866213542,0.867554182,0.820832519,0.841442429,0.889510994,0.88278137,0.748769397,0.775078965,1.032424964,0.733329692,0.961711425,0.964333602,1.050524724,0.71316301,0.757242674,0.832204647,0.891482284,0.922798808,0.991300171,1.302038856,1.094150299,0.772470111,0.991300171,0.910333049,1.008806576,1.153234415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
axct_rwi,1.205571151,1.107230355,1.261436203,1.250327651,1.128769434,1.175786195,1.170603225,1.082010922,1.150987173,1.069249514,1.028801252,1.006074099,0.900130494,1.004086049,0.918069693,0.909325716,0.896975956,0.866206653,0.958081207,0.88329397,0.894264542,0.81832412,0.858634585,0.825955657,0.869057819,0.764909429,0.765492256,0.776894157,0.841451042,0.786705759,0.760325943,0.831220319,0.72940118,0.854052238,0.731592643,0.786353848,0.892309696,0.697712703,0.792050734,0.756850206,0.617996335,0.537174116,0.574351051,0.593982324,0.722680387,0.628413744,0.677498807,0.543572239,0.537155289,0.605649886,0.514244415,0.509441072,NA,NA
axcc_rwi,1.147826184,1.165756609,1.242253633,1.191384073,1.114347282,1.098062526,1.125503261,1.197932425,1.082665825,1.066110436,0.990028851,1.015209564,0.991322714,1.040946067,0.897957104,0.912336662,0.906781603,0.963502861,0.943735042,0.805587556,0.879116739,0.795425136,0.776054847,0.836986434,0.835438262,0.845026865,0.838838965,0.872544329,0.798891053,0.77390791,0.866599918,0.793442604,0.925975234,0.697822162,0.593425793,0.765775439,0.850943613,0.908344967,0.704497888,0.832376275,0.795458412,0.815941023,0.723943717,0.96893191,0.664745552,0.880199511,0.590485601,NA,NA,NA,NA,NA,NA,NA
axft_rwi,1.147175201,1.069671844,1.226704024,1.061119723,1.117470623,1.11811971,1.231809985,1.158712788,1.096466898,1.128207695,0.986494286,1.022312138,1.073934276,0.990936959,0.967471736,0.824671626,0.980023253,0.956270247,0.818232318,0.812106347,0.81372925,0.829386209,0.654014748,0.731133431,0.787201826,0.626257326,0.770721323,0.522536549,0.839739496,0.584056691,0.810836202,0.585541051,0.794202314,0.683124611,0.757867599,0.864290569,0.690438907,0.985751411,0.55202079,0.752755623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
axfc_rwi,1.214788603,1.277860479,1.278532988,1.196690101,1.091067728,1.060594418,1.093998792,1.112836125,1.049318168,1.159908956,1.15365932,1.071476946,1.031244759,0.952829146,0.924079667,0.856694486,0.785487658,0.849970045,0.800961581,0.888554604,0.820804805,0.813624193,0.73872833,0.823401708,0.700372212,0.673939099,0.765219594,0.800809533,0.733727008,0.630268385,0.782657063,0.600428113,0.767606136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
axmt_rwi,1.101314708,1.042278432,1.342481122,1.168794516,1.13890053,1.160082773,1.026701169,1.163080099,0.916252154,1.054727248,0.823999311,0.87909008,0.934233907,0.924066235,0.906761797,0.898462854,0.915330257,0.897038319,0.756204276,0.883744494,0.863080029,0.966348633,0.988825051,1.059657308,0.784746886,0.778592812,0.505367465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
axmc_rwi,0.902233453,0.923946999,0.868386269,1.17399714,1.145948846,1.42795098,1.005697281,1.108682377,1.061086477,1.104780905,1.155058584,1.001846138,1.084335763,0.801646557,0.753398082,0.928900564,0.8463689,0.934476988,1.164829705,1.339241169,1.028411159,1.158220444,0.865098972,0.877387685,0.713416345,0.915906955,0.723714364,0.775759314,0.875686728,0.768710521,0.630610717,0.601237843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
axnt_rwi,1.101314708,1.042278432,1.342481122,1.168794516,1.13890053,1.160082773,1.026701169,1.163080099,0.916252154,1.054727248,0.823999311,0.87909008,0.934233907,0.924066235,0.906761797,0.898462854,0.915330257,0.897038319,0.756204276,0.883744494,0.863080029,0.966348633,0.988825051,1.059657308,0.784746886,0.778592812,0.505367465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
axnc_rwi,0.897974151,0.959259683,1.205537657,1.214583859,1.237685912,0.925561739,1.017217092,1.103756915,1.113303924,1.142597671,1.106062625,0.895842486,0.947597875,0.944394426,0.927669931,0.922871752,0.836010502,0.942157515,0.840434492,0.864838498,0.956353149,0.850188603,0.951918616,0.934921131,0.831025866,0.686003648,1.055247762,0.925051851,1.022702718,0.820513939,0.983939138,1.032121724,0.839391378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
