Year,DOY,Site,Treatment,Plot,T,C
1993,155,Dryas,T,1,0,22
1993,155,Dryas,C,1,29.5,40
1993,155,Dryas,T,2,0,23
1993,155,Dryas,C,2,0,0
1993,155,Dryas,T,3,24.5,34.5
1993,155,Dryas,C,3,23,27.5
1993,155,Dryas,T,4,0,22.5
1993,155,Dryas,C,4,0,0
1993,155,Dryas,T,5,5.5,29.5
1993,155,Dryas,C,5,0,0
1993,155,Dryas,T,6,0,17.5
1993,155,Dryas,C,6,0,0
1993,155,Dryas,T,7,4.5,16.5
1993,155,Dryas,C,7,0,0
1993,155,Dryas,T,8,0,21.5
1993,155,Dryas,C,8,0,0
1993,155,Dryas,T,9,24,20
1993,155,Dryas,C,9,20,14.5
1993,155,Dryas,T,10,3.5,18.5
1993,155,Dryas,C,10,0,0
1993,155,Dryas,T,11,0,25.5
1993,155,Dryas,C,11,0,0
1993,155,Dryas,T,12,0,10
1993,155,Dryas,C,12,0,11.5
1993,155,Dryas,T,13,4.5,32.5
1993,155,Dryas,C,13,0,0
1993,155,Dryas,T,14,28.5,31
1993,155,Dryas,C,14,13,8.5
1993,162,Dryas,T,1,0,0
1993,162,Dryas,C,1,0,5.5
1993,162,Dryas,T,2,0,0
1993,162,Dryas,C,2,0,0
1993,162,Dryas,T,3,0,0
1993,162,Dryas,C,3,0,0
1993,162,Dryas,T,4,0,0
1993,162,Dryas,C,4,0,0
1993,162,Dryas,T,5,0,0
1993,162,Dryas,C,5,0,0
1993,162,Dryas,T,6,0,0
1993,162,Dryas,C,6,0,0
1993,162,Dryas,T,7,0,0
1993,162,Dryas,C,7,0,0
1993,162,Dryas,T,8,0,0
1993,162,Dryas,C,8,0,0
1993,162,Dryas,T,9,0,0
1993,162,Dryas,C,9,0,0
1993,162,Dryas,T,10,0,0
1993,162,Dryas,C,10,0,0
1993,162,Dryas,T,11,0,0
1993,162,Dryas,C,11,0,0
1993,162,Dryas,T,12,0,0
1993,162,Dryas,C,12,0,0
1993,162,Dryas,T,13,0,0
1993,162,Dryas,C,13,0,0
1993,162,Dryas,T,14,0,0
1993,162,Dryas,C,14,0,0
1993,155,Cassiope,T,1,5,29
1993,155,Cassiope,C,1,32,24
1993,155,Cassiope,T,2,42.5,47
1993,155,Cassiope,C,2,21,35
1993,155,Cassiope,T,3,11.5,24
1993,155,Cassiope,C,3,27,32
1993,155,Cassiope,T,4,15,28.5
1993,155,Cassiope,C,4,32.5,30
1993,155,Cassiope,T,5,16.5,32.5
1993,155,Cassiope,C,5,25.5,21
1993,155,Cassiope,T,6,7,37.5
1993,155,Cassiope,C,6,29.5,24.5
1993,155,Cassiope,T,7,34.5,33.5
1993,155,Cassiope,C,7,0,0
1993,155,Cassiope,T,8,38.5,37.5
1993,155,Cassiope,C,8,31,26
1993,155,Cassiope,T,9,8,27.5
1993,155,Cassiope,C,9,46.5,36.5
1993,155,Cassiope,T,10,0,24.5
1993,155,Cassiope,C,10,0,0
1993,155,Cassiope,T,11,17,34.5
1993,155,Cassiope,C,11,13,28.5
1993,155,Cassiope,T,12,11,33.5
1993,155,Cassiope,C,12,38,35
